state,region,year,month,date,consumption_mu,population_millions,per_capita_kwh
Delhi,Northern,2020,5,2020-05-01,4079.5,19.0,214.71
Delhi,Northern,2020,6,2020-06-01,4480.8,19.0,235.83
Delhi,Northern,2020,7,2020-07-01,4597.4,19.0,241.97
Delhi,Northern,2020,8,2020-08-01,4514.5,19.0,237.61
Delhi,Northern,2020,9,2020-09-01,4352.2,19.0,229.06
Delhi,Northern,2020,10,2020-10-01,4437.0,19.0,233.53
Delhi,Northern,2020,11,2020-11-01,4211.3,19.0,221.65
Delhi,Northern,2020,12,2020-12-01,4424.0,19.0,232.84
Goa,Western,2019,1,2019-01-01,392.6,1.5,261.73
Goa,Western,2019,2,2019-02-01,368.0,1.5,245.33
Goa,Western,2019,3,2019-03-01,413.6,1.5,275.73
Goa,Western,2019,4,2019-04-01,438.5,1.5,292.33
Goa,Western,2019,5,2019-05-01,465.6,1.5,310.4
Goa,Western,2019,6,2019-06-01,466.2,1.5,310.8
Goa,Western,2019,7,2019-07-01,443.6,1.5,295.73
Goa,Western,2019,8,2019-08-01,434.4,1.5,289.6
Goa,Western,2019,9,2019-09-01,414.7,1.5,276.47
Goa,Western,2019,10,2019-10-01,405.5,1.5,270.33
Goa,Western,2019,11,2019-11-01,396.8,1.5,264.53
Goa,Western,2019,12,2019-12-01,404.8,1.5,269.87
Goa,Western,2020,1,2020-01-01,411.1,1.5,274.07
Goa,Western,2020,2,2020-02-01,399.6,1.5,266.4
Goa,Western,2020,3,2020-03-01,389.6,1.5,259.73
Goa,Western,2020,4,2020-04-01,323.9,1.5,215.93
Goa,Western,2020,5,2020-05-01,393.3,1.5,262.2
Goa,Western,2020,6,2020-06-01,453.7,1.5,302.47
Goa,Western,2020,7,2020-07-01,441.2,1.5,294.13
Goa,Western,2020,8,2020-08-01,452.5,1.5,301.67
Goa,Western,2020,9,2020-09-01,451.8,1.5,301.2
Goa,Western,2020,10,2020-10-01,439.7,1.5,293.13
Goa,Western,2020,11,2020-11-01,428.7,1.5,285.8
Goa,Western,2020,12,2020-12-01,449.0,1.5,299.33
Gujarat,Western,2019,1,2019-01-01,10884.4,63.0,172.77
Gujarat,Western,2019,2,2019-02-01,10637.7,63.0,168.85
Gujarat,Western,2019,3,2019-03-01,11364.3,63.0,180.39
Gujarat,Western,2019,4,2019-04-01,12459.8,63.0,197.77
Gujarat,Western,2019,5,2019-05-01,13096.9,63.0,207.89
Gujarat,Western,2019,6,2019-06-01,12923.2,63.0,205.13
Gujarat,Western,2019,7,2019-07-01,12161.2,63.0,193.03
Gujarat,Western,2019,8,2019-08-01,12370.4,63.0,196.36
Gujarat,Western,2019,9,2019-09-01,11797.6,63.0,187.26
Gujarat,Western,2019,10,2019-10-01,11264.4,63.0,178.8
Gujarat,Western,2019,11,2019-11-01,11228.9,63.0,178.24
Gujarat,Western,2019,12,2019-12-01,11004.7,63.0,174.68
Gujarat,Western,2020,1,2020-01-01,11668.9,63.0,185.22
Gujarat,Western,2020,2,2020-02-01,10926.3,63.0,173.43
Gujarat,Western,2020,3,2020-03-01,10639.3,63.0,168.88
Gujarat,Western,2020,4,2020-04-01,8350.1,63.0,132.54
Gujarat,Western,2020,5,2020-05-01,10275.2,63.0,163.1
Gujarat,Western,2020,6,2020-06-01,12216.1,63.0,193.91
Gujarat,Western,2020,7,2020-07-01,12243.0,63.0,194.33
Gujarat,Western,2020,8,2020-08-01,12409.9,63.0,196.98
Gujarat,Western,2020,9,2020-09-01,12366.1,63.0,196.29
Gujarat,Western,2020,10,2020-10-01,12400.7,63.0,196.84
Gujarat,Western,2020,11,2020-11-01,11935.0,63.0,189.44
Gujarat,Western,2020,12,2020-12-01,12606.0,63.0,200.1
Haryana,Northern,2019,1,2019-01-01,4725.5,28.0,168.77
Haryana,Northern,2019,2,2019-02-01,4538.1,28.0,162.07
Haryana,Northern,2019,3,2019-03-01,4931.3,28.0,176.12
Haryana,Northern,2019,4,2019-04-01,5289.5,28.0,188.91
Haryana,Northern,2019,5,2019-05-01,5705.4,28.0,203.76
Haryana,Northern,2019,6,2019-06-01,5638.7,28.0,201.38
Haryana,Northern,2019,7,2019-07-01,5326.0,28.0,190.21
Haryana,Northern,2019,8,2019-08-01,5266.5,28.0,188.09
Haryana,Northern,2019,9,2019-09-01,5101.0,28.0,182.18
Haryana,Northern,2019,10,2019-10-01,5054.9,28.0,180.53
Haryana,Northern,2019,11,2019-11-01,4775.0,28.0,170.54
Haryana,Northern,2019,12,2019-12-01,5042.7,28.0,180.1
Haryana,Northern,2020,1,2020-01-01,5074.8,28.0,181.24
Haryana,Northern,2020,2,2020-02-01,4802.8,28.0,171.53
Haryana,Northern,2020,3,2020-03-01,4699.8,28.0,167.85
Haryana,Northern,2020,4,2020-04-01,3917.1,28.0,139.9
Haryana,Northern,2020,5,2020-05-01,4609.3,28.0,164.62
Haryana,Northern,2020,6,2020-06-01,5418.9,28.0,193.53
Haryana,Northern,2020,7,2020-07-01,5383.6,28.0,192.27
Haryana,Northern,2020,8,2020-08-01,5399.7,28.0,192.85
Haryana,Northern,2020,9,2020-09-01,5390.1,28.0,192.5
Haryana,Northern,2020,10,2020-10-01,5276.6,28.0,188.45
Haryana,Northern,2020,11,2020-11-01,5147.3,28.0,183.83
Haryana,Northern,2020,12,2020-12-01,5407.2,28.0,193.11
Himachal Pradesh,Northern,2019,1,2019-01-01,833.8,7.0,119.11
Himachal Pradesh,Northern,2019,2,2019-02-01,794.8,7.0,113.54
Himachal Pradesh,Northern,2019,3,2019-03-01,903.6,7.0,129.09
Himachal Pradesh,Northern,2019,4,2019-04-01,924.7,7.0,132.1
Himachal Pradesh,Northern,2019,5,2019-05-01,1001.3,7.0,143.04
Himachal Pradesh,Northern,2019,6,2019-06-01,991.9,7.0,141.7
Himachal Pradesh,Northern,2019,7,2019-07-01,956.2,7.0,136.6
Himachal Pradesh,Northern,2019,8,2019-08-01,898.2,7.0,128.31
Himachal Pradesh,Northern,2019,9,2019-09-01,915.7,7.0,130.81
Himachal Pradesh,Northern,2019,10,2019-10-01,873.1,7.0,124.73
Himachal Pradesh,Northern,2019,11,2019-11-01,833.5,7.0,119.07
Himachal Pradesh,Northern,2019,12,2019-12-01,860.9,7.0,122.99
Himachal Pradesh,Northern,2020,1,2020-01-01,889.9,7.0,127.13
Himachal Pradesh,Northern,2020,2,2020-02-01,850.9,7.0,121.56
Himachal Pradesh,Northern,2020,3,2020-03-01,851.3,7.0,121.61
Himachal Pradesh,Northern,2020,4,2020-04-01,707.8,7.0,101.11
Himachal Pradesh,Northern,2020,5,2020-05-01,838.1,7.0,119.73
Himachal Pradesh,Northern,2020,6,2020-06-01,964.0,7.0,137.71
Himachal Pradesh,Northern,2020,7,2020-07-01,969.9,7.0,138.56
Himachal Pradesh,Northern,2020,8,2020-08-01,937.7,7.0,133.96
Himachal Pradesh,Northern,2020,9,2020-09-01,993.7,7.0,141.96
Himachal Pradesh,Northern,2020,10,2020-10-01,923.3,7.0,131.9
Himachal Pradesh,Northern,2020,11,2020-11-01,911.3,7.0,130.19
Himachal Pradesh,Northern,2020,12,2020-12-01,948.2,7.0,135.46
Jammu and Kashmir,Northern,2019,1,2019-01-01,1214.1,13.0,93.39
Jammu and Kashmir,Northern,2019,2,2019-02-01,1159.1,13.0,89.16
Jammu and Kashmir,Northern,2019,3,2019-03-01,1270.0,13.0,97.69
Jammu and Kashmir,Northern,2019,4,2019-04-01,1354.9,13.0,104.22
Jammu and Kashmir,Northern,2019,5,2019-05-01,1443.1,13.0,111.01
Jammu and Kashmir,Northern,2019,6,2019-06-01,1448.2,13.0,111.4
Jammu and Kashmir,Northern,2019,7,2019-07-01,1359.2,13.0,104.55
Jammu and Kashmir,Northern,2019,8,2019-08-01,1312.2,13.0,100.94
Jammu and Kashmir,Northern,2019,9,2019-09-01,1317.5,13.0,101.35
Jammu and Kashmir,Northern,2019,10,2019-10-01,1266.8,13.0,97.45
Jammu and Kashmir,Northern,2019,11,2019-11-01,1236.9,13.0,95.15
Jammu and Kashmir,Northern,2019,12,2019-12-01,1246.7,13.0,95.9
Jammu and Kashmir,Northern,2020,1,2020-01-01,1265.6,13.0,97.35
Jammu and Kashmir,Northern,2020,2,2020-02-01,1229.8,13.0,94.6
Jammu and Kashmir,Northern,2020,3,2020-03-01,1267.3,13.0,97.48
Jammu and Kashmir,Northern,2020,4,2020-04-01,1123.7,13.0,86.44
Jammu and Kashmir,Northern,2020,5,2020-05-01,1276.3,13.0,98.18
Jammu and Kashmir,Northern,2020,6,2020-06-01,1409.1,13.0,108.39
Jammu and Kashmir,Northern,2020,7,2020-07-01,1408.0,13.0,108.31
Jammu and Kashmir,Northern,2020,8,2020-08-01,1373.0,13.0,105.62
Jammu and Kashmir,Northern,2020,9,2020-09-01,1400.3,13.0,107.72
Jammu and Kashmir,Northern,2020,10,2020-10-01,1364.2,13.0,104.94
Jammu and Kashmir,Northern,2020,11,2020-11-01,1311.5,13.0,100.88
Jammu and Kashmir,Northern,2020,12,2020-12-01,1372.7,13.0,105.59
Jharkhand,Eastern,2019,1,2019-01-01,3081.0,39.0,79.0
Jharkhand,Eastern,2019,2,2019-02-01,2929.7,39.0,75.12
Jharkhand,Eastern,2019,3,2019-03-01,3265.0,39.0,83.72
Jharkhand,Eastern,2019,4,2019-04-01,3378.6,39.0,86.63
Jharkhand,Eastern,2019,5,2019-05-01,3692.3,39.0,94.67
Jharkhand,Eastern,2019,6,2019-06-01,3564.1,39.0,91.39
Jharkhand,Eastern,2019,7,2019-07-01,3398.4,39.0,87.14
Jharkhand,Eastern,2019,8,2019-08-01,3368.4,39.0,86.37
Jharkhand,Eastern,2019,9,2019-09-01,3257.4,39.0,83.52
Jharkhand,Eastern,2019,10,2019-10-01,3182.5,39.0,81.6
Jharkhand,Eastern,2019,11,2019-11-01,3148.8,39.0,80.74
Jharkhand,Eastern,2019,12,2019-12-01,3107.9,39.0,79.69
Jharkhand,Eastern,2020,1,2020-01-01,3293.9,39.0,84.46
Jharkhand,Eastern,2020,2,2020-02-01,3094.9,39.0,79.36
Jharkhand,Eastern,2020,3,2020-03-01,3068.3,39.0,78.67
Jharkhand,Eastern,2020,4,2020-04-01,2407.5,39.0,61.73
Jharkhand,Eastern,2020,5,2020-05-01,2758.5,39.0,70.73
Jharkhand,Eastern,2020,6,2020-06-01,3376.0,39.0,86.56
Jharkhand,Eastern,2020,7,2020-07-01,3463.9,39.0,88.82
Jharkhand,Eastern,2020,8,2020-08-01,3477.4,39.0,89.16
Jharkhand,Eastern,2020,9,2020-09-01,3555.8,39.0,91.17
Jharkhand,Eastern,2020,10,2020-10-01,3472.3,39.0,89.03
Jharkhand,Eastern,2020,11,2020-11-01,3364.2,39.0,86.26
Jharkhand,Eastern,2020,12,2020-12-01,3459.9,39.0,88.72
Karnataka,Southern,2019,1,2019-01-01,8450.1,67.0,126.12
Karnataka,Southern,2019,2,2019-02-01,8240.1,67.0,122.99
Karnataka,Southern,2019,3,2019-03-01,9071.8,67.0,135.4
Karnataka,Southern,2019,4,2019-04-01,9578.3,67.0,142.96
Karnataka,Southern,2019,5,2019-05-01,10176.9,67.0,151.89
Karnataka,Southern,2019,6,2019-06-01,10157.0,67.0,151.6
Karnataka,Southern,2019,7,2019-07-01,9603.2,67.0,143.33
Karnataka,Southern,2019,8,2019-08-01,9312.6,67.0,138.99
Karnataka,Southern,2019,9,2019-09-01,9135.0,67.0,136.34
Karnataka,Southern,2019,10,2019-10-01,8955.1,67.0,133.66
Karnataka,Southern,2019,11,2019-11-01,8460.2,67.0,126.27
Karnataka,Southern,2019,12,2019-12-01,8555.5,67.0,127.69
Karnataka,Southern,2020,1,2020-01-01,8971.6,67.0,133.9
Karnataka,Southern,2020,2,2020-02-01,8748.7,67.0,130.58
Karnataka,Southern,2020,3,2020-03-01,8656.7,67.0,129.2
Karnataka,Southern,2020,4,2020-04-01,7170.6,67.0,107.02
Karnataka,Southern,2020,5,2020-05-01,8450.2,67.0,126.12
Karnataka,Southern,2020,6,2020-06-01,9648.4,67.0,144.01
Karnataka,Southern,2020,7,2020-07-01,9640.3,67.0,143.89
Karnataka,Southern,2020,8,2020-08-01,9604.6,67.0,143.35
Karnataka,Southern,2020,9,2020-09-01,9845.6,67.0,146.95
Karnataka,Southern,2020,10,2020-10-01,9697.6,67.0,144.74
Karnataka,Southern,2020,11,2020-11-01,9393.3,67.0,140.2
Karnataka,Southern,2020,12,2020-12-01,9511.0,67.0,141.96
Kerala,Southern,2019,1,2019-01-01,3354.0,35.0,95.83
Kerala,Southern,2019,2,2019-02-01,3265.0,35.0,93.29
Kerala,Southern,2019,3,2019-03-01,3565.7,35.0,101.88
Kerala,Southern,2019,4,2019-04-01,3716.2,35.0,106.18
Kerala,Southern,2019,5,2019-05-01,3939.2,35.0,112.55
Kerala,Southern,2019,6,2019-06-01,4035.9,35.0,115.31
Kerala,Southern,2019,7,2019-07-01,3762.7,35.0,107.51
Kerala,Southern,2019,8,2019-08-01,3630.8,35.0,103.74
Kerala,Southern,2019,9,2019-09-01,3683.8,35.0,105.25
Kerala,Southern,2019,10,2019-10-01,3498.1,35.0,99.95
Kerala,Southern,2019,11,2019-11-01,3443.9,35.0,98.4
Kerala,Southern,2019,12,2019-12-01,3423.5,35.0,97.81
Kerala,Southern,2020,1,2020-01-01,3658.6,35.0,104.53
Kerala,Southern,2020,2,2020-02-01,3524.8,35.0,100.71
Kerala,Southern,2020,3,2020-03-01,3436.6,35.0,98.19
Kerala,Southern,2020,4,2020-04-01,3055.7,35.0,87.31
Kerala,Southern,2020,5,2020-05-01,3511.6,35.0,100.33
Kerala,Southern,2020,6,2020-06-01,3951.4,35.0,112.9
Kerala,Southern,2020,7,2020-07-01,3759.4,35.0,107.41
Kerala,Southern,2020,8,2020-08-01,3871.3,35.0,110.61
Kerala,Southern,2020,9,2020-09-01,3908.8,35.0,111.68
Kerala,Southern,2020,10,2020-10-01,3693.8,35.0,105.54
Kerala,Southern,2020,11,2020-11-01,3582.0,35.0,102.34
Kerala,Southern,2020,12,2020-12-01,3631.3,35.0,103.75
Madhya Pradesh,Western,2019,1,2019-01-01,5855.9,82.0,71.41
Madhya Pradesh,Western,2019,2,2019-02-01,5803.1,82.0,70.77
Madhya Pradesh,Western,2019,3,2019-03-01,5931.4,82.0,72.33
Madhya Pradesh,Western,2019,4,2019-04-01,6696.6,82.0,81.67
Madhya Pradesh,Western,2019,5,2019-05-01,7065.2,82.0,86.16
Madhya Pradesh,Western,2019,6,2019-06-01,6898.9,82.0,84.13
Madhya Pradesh,Western,2019,7,2019-07-01,6561.0,82.0,80.01
Madhya Pradesh,Western,2019,8,2019-08-01,6234.4,82.0,76.03
Madhya Pradesh,Western,2019,9,2019-09-01,6279.2,82.0,76.58
Madhya Pradesh,Western,2019,10,2019-10-01,6143.7,82.0,74.92
Madhya Pradesh,Western,2019,11,2019-11-01,6053.3,82.0,73.82
Madhya Pradesh,Western,2019,12,2019-12-01,5938.5,82.0,72.42
Madhya Pradesh,Western,2020,1,2020-01-01,6135.2,82.0,74.82
Madhya Pradesh,Western,2020,2,2020-02-01,5965.0,82.0,72.74
Madhya Pradesh,Western,2020,3,2020-03-01,5997.4,82.0,73.14
Madhya Pradesh,Western,2020,4,2020-04-01,4881.8,82.0,59.53
Madhya Pradesh,Western,2020,5,2020-05-01,5710.4,82.0,69.64
Madhya Pradesh,Western,2020,6,2020-06-01,6691.7,82.0,81.61
Madhya Pradesh,Western,2020,7,2020-07-01,6621.4,82.0,80.75
Madhya Pradesh,Western,2020,8,2020-08-01,6777.8,82.0,82.66
Madhya Pradesh,Western,2020,9,2020-09-01,6671.8,82.0,81.36
Madhya Pradesh,Western,2020,10,2020-10-01,6633.4,82.0,80.9
Madhya Pradesh,Western,2020,11,2020-11-01,6361.5,82.0,77.58
Madhya Pradesh,Western,2020,12,2020-12-01,6445.6,82.0,78.6
Maharashtra,Western,2019,1,2019-01-01,13304.4,123.0,108.17
Maharashtra,Western,2019,2,2019-02-01,12753.5,123.0,103.69
Maharashtra,Western,2019,3,2019-03-01,14051.2,123.0,114.24
Maharashtra,Western,2019,4,2019-04-01,15250.6,123.0,123.99
Maharashtra,Western,2019,5,2019-05-01,15848.1,123.0,128.85
Maharashtra,Western,2019,6,2019-06-01,15565.1,123.0,126.55
Maharashtra,Western,2019,7,2019-07-01,15117.8,123.0,122.91
Maharashtra,Western,2019,8,2019-08-01,14650.7,123.0,119.11
Maharashtra,Western,2019,9,2019-09-01,14100.0,123.0,114.63
Maharashtra,Western,2019,10,2019-10-01,13886.1,123.0,112.9
Maharashtra,Western,2019,11,2019-11-01,13255.2,123.0,107.77
Maharashtra,Western,2019,12,2019-12-01,13395.8,123.0,108.91
Maharashtra,Western,2020,1,2020-01-01,14049.2,123.0,114.22
Maharashtra,Western,2020,2,2020-02-01,13158.0,123.0,106.98
Maharashtra,Western,2020,3,2020-03-01,12794.4,123.0,104.02
Maharashtra,Western,2020,4,2020-04-01,10175.1,123.0,82.72
Maharashtra,Western,2020,5,2020-05-01,12235.1,123.0,99.47
Maharashtra,Western,2020,6,2020-06-01,14812.0,123.0,120.42
Maharashtra,Western,2020,7,2020-07-01,14594.7,123.0,118.66
Maharashtra,Western,2020,8,2020-08-01,14698.4,123.0,119.5
Maharashtra,Western,2020,9,2020-09-01,15547.8,123.0,126.4
Maharashtra,Western,2020,10,2020-10-01,15019.0,123.0,122.11
Maharashtra,Western,2020,11,2020-11-01,14466.9,123.0,117.62
Maharashtra,Western,2020,12,2020-12-01,14593.9,123.0,118.65
Manipur,Northeastern,2019,1,2019-01-01,131.7,3.2,41.16
Manipur,Northeastern,2019,2,2019-02-01,124.3,3.2,38.84
Manipur,Northeastern,2019,3,2019-03-01,139.0,3.2,43.44
Manipur,Northeastern,2019,4,2019-04-01,150.0,3.2,46.88
Manipur,Northeastern,2019,5,2019-05-01,157.8,3.2,49.31
Manipur,Northeastern,2019,6,2019-06-01,158.3,3.2,49.47
Manipur,Northeastern,2019,7,2019-07-01,143.9,3.2,44.97
Manipur,Northeastern,2019,8,2019-08-01,140.1,3.2,43.78
Manipur,Northeastern,2019,9,2019-09-01,136.3,3.2,42.59
Manipur,Northeastern,2019,10,2019-10-01,138.8,3.2,43.38
Manipur,Northeastern,2019,11,2019-11-01,132.9,3.2,41.53
Manipur,Northeastern,2019,12,2019-12-01,132.9,3.2,41.53
Manipur,Northeastern,2020,1,2020-01-01,138.6,3.2,43.31
Manipur,Northeastern,2020,2,2020-02-01,131.3,3.2,41.03
Manipur,Northeastern,2020,3,2020-03-01,140.3,3.2,43.84
Manipur,Northeastern,2020,4,2020-04-01,121.4,3.2,37.94
Manipur,Northeastern,2020,5,2020-05-01,138.7,3.2,43.34
Manipur,Northeastern,2020,6,2020-06-01,153.5,3.2,47.97
Manipur,Northeastern,2020,7,2020-07-01,150.0,3.2,46.88
Manipur,Northeastern,2020,8,2020-08-01,149.8,3.2,46.81
Manipur,Northeastern,2020,9,2020-09-01,147.8,3.2,46.19
Manipur,Northeastern,2020,10,2020-10-01,148.3,3.2,46.34
Manipur,Northeastern,2020,11,2020-11-01,145.6,3.2,45.5
Manipur,Northeastern,2020,12,2020-12-01,148.3,3.2,46.34
Meghalaya,Northeastern,2019,1,2019-01-01,205.3,3.4,60.38
Meghalaya,Northeastern,2019,2,2019-02-01,200.3,3.4,58.91
Meghalaya,Northeastern,2019,3,2019-03-01,210.8,3.4,62.0
Meghalaya,Northeastern,2019,4,2019-04-01,235.0,3.4,69.12
Meghalaya,Northeastern,2019,5,2019-05-01,247.7,3.4,72.85
Meghalaya,Northeastern,2019,6,2019-06-01,240.5,3.4,70.74
